p1handX,p1handY,p1handZ,p2handX,p2handY,p2handZ,p1bodyX,p1bodyY,p1bodyZ,p2bodyX,p2bodyY,p2bodyZ
5.877,-21.416,-32.648,7.887,-78.126,-36.179,-7.364,2.869,-36.104,-3.631,-96.739,-34.452
5.95,-21.423,-32.687,7.878,-78.119,-36.18,-7.41,2.866,-36.108,-3.65,-96.723,-34.445
5.983,-21.466,-32.708,7.859,-78.123,-36.178,-7.42,2.878,-36.104,-3.645,-96.723,-34.439
5.952,-21.492,-32.714,7.819,-78.108,-36.19,-7.418,2.887,-36.106,-3.608,-96.721,-34.437
5.984,-21.503,-32.722,7.751,-78.085,-36.207,-7.411,2.875,-36.107,-3.595,-96.715,-34.444
6.028,-21.544,-32.774,7.71,-78.072,-36.22,-7.426,2.851,-36.115,-3.554,-96.732,-34.425
6.04,-21.6,-32.785,7.711,-78.046,-36.217,-7.431,2.848,-36.123,-3.559,-96.723,-34.431
6.086,-21.62,-32.79,7.69,-78.046,-36.227,-7.428,2.828,-36.128,-3.576,-96.723,-34.438
6.104,-21.631,-32.8,7.665,-78.036,-36.252,-7.425,2.814,-36.128,-3.616,-96.721,-34.439
6.129,-21.648,-32.787,7.637,-78.033,-36.268,-7.416,2.813,-36.131,-3.63,-96.727,-34.442
6.1,-21.688,-32.814,7.59,-78.013,-36.295,-7.396,2.812,-36.137,-3.597,-96.734,-34.437
6.11,-21.716,-32.841,7.588,-78.012,-36.297,-7.378,2.812,-36.146,-3.577,-96.726,-34.445
6.161,-21.732,-32.84,7.58,-77.998,-36.318,-7.367,2.818,-36.148,-3.531,-96.731,-34.438
6.184,-21.768,-32.884,7.515,-77.974,-36.314,-7.345,2.823,-36.15,-3.505,-96.731,-34.439
6.178,-21.801,-32.878,7.486,-77.974,-36.305,-7.323,2.816,-36.154,-3.52,-96.732,-34.436
6.165,-21.783,-32.873,7.47,-77.96,-36.311,-7.329,2.818,-36.158,-3.506,-96.725,-34.445
6.18,-21.815,-32.881,7.449,-77.973,-36.328,-7.314,2.816,-36.157,-3.475,-96.721,-34.436
6.199,-21.838,-32.889,7.385,-77.977,-36.329,-7.317,2.814,-36.16,-3.482,-96.708,-34.43
6.203,-21.87,-32.913,7.373,-77.94,-36.33,-7.312,2.806,-36.158,-3.476,-96.706,-34.432
6.196,-21.894,-32.899,7.372,-77.947,-36.345,-7.313,2.809,-36.16,-3.486,-96.696,-34.441
6.197,-21.924,-32.924,7.387,-77.938,-36.347,-7.322,2.815,-36.159,-3.489,-96.702,-34.432
6.22,-21.93,-32.924,7.398,-77.942,-36.344,-7.335,2.819,-36.157,-3.513,-96.69,-34.436
6.21,-21.961,-32.95,7.412,-77.951,-36.341,-7.342,2.82,-36.155,-3.548,-96.672,-34.44
6.209,-21.968,-32.965,7.399,-77.956,-36.339,-7.344,2.813,-36.15,-3.551,-96.672,-34.425
6.216,-21.967,-32.979,7.396,-77.95,-36.345,-7.351,2.811,-36.146,-3.554,-96.669,-34.428
6.25,-21.978,-32.977,7.388,-77.953,-36.344,-7.348,2.805,-36.141,-3.536,-96.681,-34.425
6.273,-21.998,-32.99,7.363,-77.954,-36.355,-7.347,2.808,-36.14,-3.522,-96.679,-34.439
6.276,-22.047,-32.956,7.34,-77.953,-36.347,-7.35,2.807,-36.143,-3.52,-96.688,-34.439
6.268,-22.101,-32.998,7.315,-77.96,-36.357,-7.34,2.807,-36.145,-3.541,-96.685,-34.435
6.253,-22.123,-32.982,7.324,-77.956,-36.367,-7.334,2.806,-36.145,-3.524,-96.699,-34.413
6.238,-22.152,-32.981,7.341,-77.953,-36.372,-7.321,2.807,-36.141,-3.488,-96.713,-34.421
6.248,-22.177,-32.98,7.342,-77.95,-36.372,-7.315,2.808,-36.142,-3.451,-96.718,-34.417
6.263,-22.212,-32.978,7.354,-77.945,-36.373,-7.303,2.802,-36.146,-3.47,-96.715,-34.421
6.273,-22.232,-32.972,7.375,-77.942,-36.366,-7.29,2.788,-36.151,-3.45,-96.715,-34.417
6.242,-22.241,-32.973,7.396,-77.94,-36.36,-7.276,2.769,-36.162,-3.444,-96.715,-34.428
6.242,-22.231,-32.99,7.401,-77.94,-36.361,-7.217,2.756,-36.159,-3.447,-96.701,-34.441
6.229,-22.23,-32.994,7.399,-77.943,-36.359,-7.209,2.742,-36.162,-3.443,-96.706,-34.433
6.256,-22.232,-32.994,7.379,-77.947,-36.367,-7.218,2.748,-36.164,-3.481,-96.692,-34.439
6.288,-22.236,-32.993,7.365,-77.953,-36.363,-7.23,2.756,-36.167,-3.516,-96.686,-34.428
